handle,url,name,width,height,wait,timezone,bundle
Berkeleyside,https://berkeleyside.org/,The Berkeleyside,,,,America/Los_Angeles,bay-area
EastBayTimes,https://www.eastbaytimes.com/,East Bay Times,,,,America/Los_Angeles,bay-area
mercnews,https://www.mercurynews.com/,Mercury News,,,,America/Los_Angeles,bay-area
Oaklandside,https://oaklandside.org/,The Oaklandside,,2000,,America/Los_Angeles,bay-area
sfchronicle,https://www.sfchronicle.com/,San Francisco Chronicle,,,,America/Los_Angeles,bay-area
kyivindependent,https://kyivindependent.com/,Kyiv Independent,,,,Europe/Kiev,eastern-europe
KyivPost,https://www.kyivpost.com/,KyivPost,,,,Europe/Kiev,eastern-europe
meduzaproject,https://meduza.io/,Meduza,,1800,4000,Europe/Riga,eastern-europe
rianru,https://ria.ru/,RIA Novosti,,,,Europe/Moscow,russia
ukrinform,https://www.ukrinform.ua/,Ukrinform,,,,Europe/Kiev,eastern-europe
zn_ua,https://zn.ua/,ZN.UA,,,,Europe/Kiev,eastern-europe
HromadskeUA,https://hromadske.ua/,hromadske,,,,Europe/Kiev,eastern-europe
ABQJournal,https://www.abqjournal.com/,Albuquerque Journal,,,,America/Denver,new-mexico
CrucesSunNews,https://www.lcsun-news.com/,Las Cruces Sun News,,,,America/Denver,new-mexico
source_nm,https://sourcenm.com/,Source New Mexico,,,,America/Denver,new-mexico
thenewmexican,https://www.santafenewmexican.com/,Santa Fe New Mexican,,,,America/Denver,new-mexico
ABC7,https://abc7.com/,ABC7,,,,America/Los_Angeles,socal
FOXLA,https://www.foxla.com/,FOX 11 Los Angeles,,,,America/Los_Angeles,socal
KTLA,https://ktla.com,KTLA,,,,America/Los_Angeles,socal
KnockDotLA,https://knock-la.com/,Knock.LA,,,,America/Los_Angeles,socal
kpbs,https://www.kpbs.org/,KPBS,,2000,,America/Los_Angeles,socal
kpcc,https://www.kpcc.org/,KPCC,,,,America/Los_Angeles,socal
laist,https://laist.com/,LAist,,,,America/Los_Angeles,socal
latimes,https://www.latimes.com,Los Angeles Times,,2000,,America/Los_Angeles,socal
MyDesert,https://www.desertsun.com/,The Desert Sun,,2000,,America/Los_Angeles,socal
ocregister,https://www.ocregister.com/,Orange County Register,,2000,,America/Los_Angeles,socal
pressenterprise,https://www.pe.com/,Riverside Press-Enterprise,,2000,,America/Los_Angeles,socal
sdut,https://www.sandiegouniontribune.com/,San Diego Union Tribune,,,,America/Los_Angeles,socal
thelasentinel,https://lasentinel.net/,Los Angeles Sentinel,,2000,,America/Los_Angeles,socal
vcstar,https://www.vcstar.com/,Ventura County Star,,2000,,America/Los_Angeles,socal
voiceofsandiego,https://voiceofsandiego.org/,Voice of San Diego,,,,America/Los_Angeles,socal
bbc,https://www.bbc.com/news,BBC,,,,Europe/London,uk-national-news
ft,https://ft.com/?edition=uk,Financial Times,,,,Europe/London,uk-national-news
guardian,https://theguardian.com/uk,The Guardian,,,,Europe/London,uk-national-news
Independent,https://www.independent.co.uk/,The Independent,,,,Europe/London,uk-national-news
Telegraph,https://www.telegraph.co.uk/,The Telegraph,,,,Europe/London,uk-national-news
nytimes,https://www.nytimes.com,New York Times,,,,America/New_York,us-national-newspapers
TheSun,https://www.thesun.co.uk/,The Sun,,,5000,Europe/London,uk-national-news
TheTimes,https://www.thetimes.co.uk/,The Times,,,,Europe/London,uk-national-news
USATODAY,https://www.usatoday.com/,USA Today,,2000,,America/New_York,us-national-newspapers
wsj,https://www.wsj.com/,Wall Street Journal,,2000,,America/New_York,us-national-newspapers
cnn,https://www.cnn.com/,CNN,,,,US/Eastern,us-national-television
foxnews,https://www.foxnews.com/,Fox News,,,,America/New_York,us-national-television
msnbc,https://www.msnbc.com/,MSNBC,,,,America/New_York,us-national-television
ABC,https://abcnews.go.com/,ABC News,,,,America/New_York,us-national-television
NBCNews,https://www.nbcnews.com/,NBC News,,,,America/New_York,us-national-television
CBSNews,https://www.cbsnews.com/,CBS News,,,,America/New_York,us-national-television
gbpressgazette,https://www.greenbaypressgazette.com/,Green Bay Press-Gazette,,,,America/Chicago,wisconsin
htrnews,https://www.htrnews.com/,Herald Times Reporter,,,,America/Chicago,wisconsin
journalsentinel,https://www.jsonline.com/,Milwaukee Journal Sentinel,,,,America/Chicago,wisconsin
LaCrosseTribune,https://lacrossetribune.com/,LaCrosse Tribune,,,,America/Chicago,wisconsin
leadertelegram,https://www.leadertelegram.com/,Eau Claire Leader-Telegram,,,,America/Chicago,wisconsin
PostCrescent,https://www.postcrescent.com/,Appleton Post Crescent,,,,America/Chicago,wisconsin
StevensPointJrl,https://www.stevenspointjournal.com/,Stevens Point Journal,,,,America/Chicago,wisconsin
wausauherald,https://www.wausaudailyherald.com/,Wausau Daily Herald,,,,America/Chicago,wisconsin
WiStateJournal,https://madison.com/wsj/,Wisconsin State Journal,,,,America/Chicago,wisconsin
gazettedotcom,https://www.thegazette.com/,Cedar Rapids Gazette,,,,America/Chicago,iowa
DMRegister,https://www.desmoinesregister.com/,Des Moines Register,,,,America/Chicago,iowa
IowaPublicRadio,https://www.iowapublicradio.org/,Iowa Public Radio,,2000,,America/Chicago,iowa
KCRG,https://www.kcrg.com/,KCRG,,,,America/Chicago,iowa
presscitizen,https://www.press-citizen.com/,Iowa City Press-Citizen,,,,America/Chicago,iowa
qctimes,https://qctimes.com/,Quad City Times,,,,America/Chicago,iowa
KCCINews,https://www.kcci.com/,KCCI,,,,America/Chicago,iowa
kcautv,https://www.siouxlandproud.com/,KCAU,,,,America/Chicago,iowa
TelegraphHerald,https://www.telegraphherald.com/,Dubuque Telegraph Herald,,,,America/Chicago,iowa
